time,FD FAN A  DISCHARGE PRESSURE_PI_06102_1,FD FAN B  DISCHARGE PRESSURE_PI_06102_2,FD FAN A COMPENSATED AIR FLOW_TOT_AIR_FL,COAL FEEDER SPEED MILL A_FIQC_03305_A_FB,COAL FEEDER SPEED MILL B_FIQC_03305_B_FB,COAL FEEDER SPEED MILL C_FIQC_03305_C_FB,COAL FEEDER SPEED MILL D_FIQC_03305_D_FB,COAL FEEDER SPEED MILL E_FIQC_03305_E_FB,MAIN STEAM PRESSURE_PI_02100_S,SEC AIR WINDBOX LEFT PRESSURE_PI_06102_5,SEC AIR PRESSURE AT WINDBOX RIGHT_PI_06102_6,PRIMARY AIR PRES FROM APH_PI_05102_4,SEC AIR O/L PRS AT APH_PI_06102_4,O2 AT ECONOMIZER INLET_QCR_06704
1552561451950,304.49582,297.60535,296.4873,5.1517863,6.085532,6.133762,5.462518,0,96.9686,119.97481,92.13057,630.54626,171.93375,2.1446033
1552561511947,301.07166,303.55286,294.62924,5.1485825,6.0765486,6.1700554,5.4968753,0,97.38418,118.046745,95.9633,633.0972,172.51076,2.010463
1552561571945,305.08514,304.31207,299.3131,5.1476364,6.079652,6.103041,5.4299726,0,97.749794,121.32445,93.90657,634.01324,178.52065,1.9984154
1552561631943,301.0176,298.59515,296.2677,5.1460176,6.078093,6.0540776,5.384736,0,98.04531,122.05423,91.90396,636.0593,172.6523,2.0825136
1552561691956,301.14316,304.5662,297.84598,5.1616755,6.077165,6.0495872,5.3731914,0,98.147675,119.33998,91.95396,638.15765,174.73457,2.1109397
1552561751953,306.56003,298.45486,301.44354,5.14949,6.0653358,6.030815,5.357758,0,98.21715,119.279335,94.17944,631.4439,176.82872,2.1375997
1552561811951,300.59662,298.32172,296.7589,5.149602,6.069605,6.0573244,5.3912067,0,98.18513,120.179924,93.5923,640.0871,171.17865,2.173325
1552561872448,304.50922,300.61636,302.3394,5.1594324,6.0792294,6.0266247,5.3461885,0,98.22289,120.44356,93.45413,622.0731,171.40054,2.0976458
1552561932445,302.304,302.08664,295.82825,5.1440005,6.062858,6.039147,5.3632226,0,98.14999,121.66918,93.437294,630.27716,176.81203,2.0894408
1552561992443,301.70465,303.44592,301.4195,5.16166,6.0785885,6.043329,5.3740706,0,98.14718,120.974304,95.45137,622.2531,175.80244,2.0462704
1552562052456,306.58978,299.47687,303.2739,5.152988,6.0793667,6.0613847,5.3998833,0,98.044395,120.44896,95.97652,630.2054,171.99275,2.0484867
